verdict,statement,sentiment
mostly-true,"""The so-called ‘heartbeat’ law outlaws abortion before most women even know that they're pregnant. This is one of the most restrictive anti-abortion laws in our country.""",0.0
mostly-false,"32,000 votes for David Perdue ""disappeared"" during the Georgia Senate runoff election.",0.0
false,BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20,-0.5106
half-true,"Says his sons were ""targeted"" on Facebook ""by out-of-state protesters.""",0.0
pants-fire,"Says his father, Fred Trump, was ""born in a very wonderful place in Germany.""",0.6115
half-true,"""ALERT: Massive Easter Egg Recall Leaves MILLIONS Of Children In Danger- THROW THEM AWAY- They WILL Kill Your Kids.""",-0.8442
mostly-false,"Says Wisconsin ‘could compel’ Foxconn to install solar panels that would power 33,000 homes.",0.0
false,"Olive Garden employees are allowed to wear Black Lives Matter masks ""but NOT the American flag.""",0.0129
false,"Says Gov. Chris Christie's decision to close the Elizabeth MVC ""saved no money.""",0.1531
false,"Says Joe Biden canceled the Keystone pipeline because Warren Buffett ""donated $58 million"" to his campaign.",0.0
false,"""When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.""",0.3612
false,Says Colorado food stamp recipients can use ATMs to get cash to buy marijuana.,0.0
true,"""We aren't the only state cutting back on public television.""",-0.128
mostly-true,"""Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.""",-0.5719
mostly-true,"""Canada charges the U.S. a 270% tariff on Dairy Products! They didn’t tell you that, did they? Not fair to our farmers!""",-0.5641
false,"""Scott Walker has even removed the 250,000 jobs promise from his website.""",0.3182
half-true,"Since President Barack Obama took office, ""2 million more Americans are out of work.""",0.0
mostly-true,"South Carolina has a labor shortage, specifically in the meatpacking industry.",-0.25
false,"The Northwest Corridor highway project in Cobb and Cherokee counties ""is expected to create over 9,700 jobs statewide.""",0.2732
false,"Says Pennsylvania Republican nominee for Congress Fred Keller ""was a 50-50 shot"" before his landslide victory.",0.0
false,"Says Sen. Bill Nelson ""hasn’t done anything on gun safety or school safety, and nothing on gun control.""",0.2023
mostly-true,"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe.""",0.0
pants-fire,"A state senate bill would ""criminalize a father teaching his own son how to use a hunting rifle.""",0.0
true,"Says 70 percent of benefits in Donald Trump’s proposal for child care ""go to the people making over $100,000 a year.""",0.7003
mostly-true,"""In April, Sen. McCain came out against helping women earn equal pay for equal work.""",0.2023
true,"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.",0.6669
half-true,"""‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.""",0.0
mostly-false,"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",-0.2023
mostly-true,"Says Rick Scott’s proposal for election reform ""only mandates 48 hours of early voting.""",0.0
mostly-false,Cities like Seattle have decided to ban food carts.,-0.2732
false,"John Adcock and Republicans’ plan for health care ""would get rid of coverage altogether for thousands of families and raise premiums on the rest of us.""",0.4939
pants-fire,"""Bill McCollum has accepted thousands from lobbyists for Planned Parenthood.""",0.2732
false,"""David McCormick paid for attacks on Donald Trump.""",-0.4404
mostly-false,"Says former President Barack Obama ""pardoned a traitor who gave U.S. enemies state secrets, he also pardoned a terrorist who killed Americans.""",-0.891
mostly-false,"Says State Comptroller Matthew Boxer ""pointed out that many towns are artificially lowering the real estate values that they report to Trenton"" in order to ""get hundreds of millions of dollars of additional school aid. This is the kind of fraud that needs to be addressed immediately.""",-0.5256
mostly-true,"""There are precious few religions that actually say you cannot"" get vaccinated.",0.5719
mostly-false,The significant drop in Florida’s unemployment rate is a good economic sign.,-0.0772
true,"""The American healthcare system burns 18 percent of our national GDP. Nobody else is close.""",0.0
true,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",-0.5574
half-true,"Says marijuana use among Colorado high school students ""has not increased since legalization.""",-0.2057
pants-fire,"Obama said troops ""whine about bearing the costs"" of going to war.",-0.7506
true,"The federal government ""can cut all of the non-military discretionary spending and not balance the budget.""",-0.2732
mostly-true,"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",-0.9403
mostly-true,"""Back when Ted Cruz called Mitch McConnell a liar on the floor of the Senate floor, nobody invoked Rule 19 to censor him.""",-0.743
false,"""74 percent of Republicans support the Affordable Care Act.""",0.7096
mostly-false,"About two-thirds of Medicaid beneficiaries are children, but they account for one-third of the program’s cost, while one-third are elderly, and they account for two-thirds of the cost.",0.2263
mostly-false,"""We’ve used (generally accepted accounting principles) here in this building the last two years.""",0.2732
half-true,"Says the state budget ""doubled property tax credits for seniors and middle class New Jerseyans"" and had ""no tax increases for any New Jersey family for the second year in a row.""",0.0772
mostly-true,"""We're up 123,000 jobs over the last year and three-quarters. We're actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.""",0.0
false,"""Another one he should veto is the SCHIP program, which he should say 'Take the C out of, because now it's for everybody, like every other entitlement program.'""",0.3612
pants-fire,"Photos from Sept. 11, 2001, show that ""Donald Trump joined America’s heroes and carried victims over his shoulders down the steps of the burning World Trade Center. Obama spent the whole day sitting in the Oval Office with his feet on the desk watching basketball.""",0.25
true,"Says ""MAX carries 30 percent of evening rush-hour commuters traveling from Downtown on the Sunset and Banfield freeways.""",0.0
pants-fire,"""U.S. military at the White House arresting Congress.""",0.0
half-true,"Texas A&M University - Commerce ""offers counseling, safe spaces for students who are afraid of President-elect Trump.""",0.4404
true,"""We haven’t had control of the House for the last two years and it’s been malfunctioning. We had 109 sessions scheduled and held 49.""",0.0
mostly-false,"""We have asked public employees to pay 10 percent of the costs of their guaranteed pension and 15 percent of the cost of their health care. ... The leadership of those public employees unions don't want to pay anything.""",0.291
half-true,"Republicans Chuck Grassley, John Boehner and John Mica flip-flopped on providing end-of-life counseling for the elderly.",0.0
mostly-true,"""When total Sandy spending is added up, it's more than the annual budget for the U.S. Department of Homeland Security. And it's more than twice the annual budget of the U.S. Energy Department.""",0.5423
false,"""The DNC hack showed you that the Clinton campaign was working to schedule (primary) debates against (Bernie) Sanders,"" and the Clinton campaign is continuing this ""ploy"" against Donald Trump.",0.0
mostly-false,"""We now know these firms are unwilling to put up any private money,"" for California's high-speed rail project.",0.0
half-true,"Says Dean Heller helped ""craft a partisan repeal bill that also would have slashed coverage protections for people with pre-existing conditions.""",-0.2263
pants-fire,"Following Hurricane Ida, animals from Turtle Back Zoo in New Jersey are ""fleeing the premises.""",0.0
false,"""118-year-old William Bradley voted via an absentee ballot in Wayne County, Michigan this year. William died in 1984. They’re trying to steal this election.""",-0.836
true,Says Will Rasmussen falsely claimed he had lived in the West Linn district for about a year.,0.0
mostly-true,"The state covered a smaller percentage of the cost of K-12 education in 2013 than it did
in 2002.",0.0
half-true,"Says El Paso is the ""safest city of our size in the nation.""",0.4019
pants-fire,"Says President Barack Obama has issued upwards of 1,000 executive orders, more than any modern president.",0.0
half-true,"""Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.""",-0.2023
false,"An image shows ""a medical oddity that is characterized by having two pupils in each eyeball.""",0.0
false,"""All of Texas is conservative, except a little bit of Austin.""",0.0
half-true,"""No one in the private sector gets unlimited accruals of vacation and sick leave.""",-0.6705
pants-fire,"Says Sen. Kelly Loeffler said on Parler that ""Black people shouldn’t be allowed to vote.""",0.0
pants-fire,"Says Joe Biden ""abandoned Scranton.""",-0.4588
half-true,"""Nearly 45 percent of the women who receive health screenings through (the Women’s Health Program) do so at a Planned Parenthood health center.""",0.0
mostly-true,"""Some patients who are on transplant lists for kidney or other organs are being dropped from the list simply because they are shown as a licensed card holder"" for medical marijuana.",0.0
false,Photos prove the Denver light rail system has low ridership.,-0.2732
false,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,-0.34
mostly-false,"Regarding the Iraq War, ""I was the one that said, ‘Don’t go, don’t do it, you’re going to destabilize the Middle East.’ """,-0.5994
mostly-false,"""Every single Petersburg (Va.) school was accredited when I left office.""",0.0
mostly-true,"In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan.",0.7506
half-true,"""The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.""",-0.6124
half-true,"""If every house in Florida had a solar-heated water tank, that would eliminate consumption by 17 percent.""",0.0
false,"""When I was growing up as a kid in the city of Milwaukee, if we averaged 4 homicides a year in the entire city that was a record number.""",0.1779
false,Says the Biden administration labeled Libertarians terrorists.,-0.6124
mostly-false,"Says Florida Agriculture Commissioner Nikki Fried ""spent millions of dollars to put her face on every gas pump across this state.""",0.0
false,"Says Connie Mack IV co-sponsored a bill to ""take a third of the Social Security Trust Fund ... give it in individual accounts to the senior citizens, who then were to invest it in the stock market.""",0.6908
false,"""SpongeBob’s license address is Jeffrey Epstein’s private island!""",0.0
true,Says Mitt Romney flip-flopped on a taxpayer protection pledge.,0.0
false,"""Roe v. Wade happened because a woman lied about being raped by black men.""",-0.802
mostly-true,"""He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that he’s been in the United States Senate.""",0.4215
false,"""Wind power is the most undependable form of renewable energy.""",0.0
pants-fire,"""America’s gun-related homicide rate … would be about the same as Belgium’s if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.""",-0.34
mostly-true,"If Florida had not taken the stimulus, it ""would have led to the firing of 20,000 teachers.""",-0.34
false,"""No prominent Democrats have had the virus but the list of Republicans goes on and on.""",0.0129
true,"""We've had 11,000 attempts to amend the Constitution since 1789.""",0.0
half-true,"In the U.S. asylum system, ""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down.""",-0.0258
pants-fire,"Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus.""",0.0
half-true,"""Lumber prices can be tied to the (Trump) administration’s actions.""",0.0
false,"""Joe Biden’s margin of the less than 21,000 votes in Wisconsin was the tightest of any state in 2020.""",0.0
false,"""Ronald Reagan faced an even worse recession"" than the current one.",-0.7096
false,"Says Melania Trump is the ""first FLOTUS to visit troops in a combat zone since 1969.""",-0.34
false,"The Obama administration ""leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.""",-0.7717
mostly-true,"""Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately, that 9 percent is 16 million people. And that’s just one country.""",0.0516
mostly-false,"Says only seven percent of 2009’s stimulus bill went toward transportation projects, yet they created over one-third of the bill’s total jobs.",0.25
half-true,Ben Unger supported a 15 percent property tax increase on Oregon seniors.,0.5574
true,Says the state budget includes spending on commercials for Fortune 500 companies.,0.0
half-true,"Before Obamacare, Wisconsin’s ""high-risk pool"" for health insurance ""had eight or nine"" plans to choose from, people ""could go to any doctor or any hospital they wanted, and their premiums and co-pays were cheaper than they are under Obamacare today.""",0.0
half-true,"""Less than half"" of jobs at the Carrier manufacturing plant in Indiana ""are actually staying.""",0.0
mostly-true,"""President Trump has passed more legislation in his first 100 days than any president since Harry Truman.""",0.0
mostly-true,"""Congress only funded half the wall"" between Mexico and the United States.",0.4215
half-true,"""[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.""",0.0
false,"""Human trafficking and drugs"" at the Mexico border have ""doubled, tripled and quadrupled"" since Joe Biden became president.",0.0
false,"""Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.""",-0.6597
false,"Schuyler VanValkenburg co-sponsored a bill that would have ""allowed abortion until the moment of birth.""",0.0
mostly-true,"""In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.""",0.4588
false,"Says Debo Adegbile ""was nominated to serve as a judge on the U.S. Circuit Court of Appeals"" and ""was abruptly withdrawn by the administration.""",0.0
false,Says Ted Cruz distributed the ad showing a nude Melania Trump on a rug.,0.0
half-true,"""The middle class can be defined to include those with income between roughly $20,000 and $60,000.""",0.0
mostly-false,"""It took Obama six months to pick out a family dog,"" but he's ""cramming health care reform down the country's throat in a fraction of that time.""",0.6486
false,President Obama has never received a paycheck from a profitmaking business in his entire life.,0.0
pants-fire,"""Black Panthers Just Took Over City (Atlanta) – All Out War On Election Day""",-0.5994
mostly-false,"""Why should you get a break for racehorses and not get a break for child care?""",0.0
half-true,"""Studies show that people that are on welfare are higher users of drugs than people not on welfare.""",0.0
false,"""They just exposed Mark Zuckerberg as a CIA agent.""",-0.0772
mostly-true,"Without a Medicaid expansion, 275,000 more Ohioans could be getting their primary care in emergency rooms, costing ""everybody a lot of money.""",0.1531
false,"""Lauren Boebert received a PPP loan for her restaurant.""",0.0
mostly-true,"California is 41st in the nation in per pupil K-12 spending, but ""No. 1 in per prisoner"" spending.",-0.6956
mostly-false,"""[Federal] law says that you can't give in-state tuition to an illegal alien … unless you first offer it to any other student regardless of their state of residence.""",-0.5574
half-true,"Says ""Scott Brown’s carrying some big oil baggage"" because he ""collected over $400,000 in campaign contributions.""",0.0
mostly-true,"""Since I was elected, crime rates have been at their lowest in over a decade.""",-0.7269
false,"""FEMA forcibly vaccinating Ida evacuees.""",0.0
half-true,"Says his administration has created ""5 million jobs … over the last 30 months in the private sector alone.""",0.25
half-true,"Says that according to a report, ""the tech sector now drives more than one-quarter of Austin’s economy.""",0.0
pants-fire,"Says Freddie Mac, electric co-ops and credit unions are all ""government sponsored"" enterprises.",0.3818
true,"""One in four Texans lacks health insurance, the highest proportion in the nation.""",0.0
mostly-false,"Prince William County ""has cut violent crime in half"" since instituting a crackdown on illegal immigration.",-0.9201
true,"""As a former federal prosecutor, I prosecuted over 4,000 cases.""",-0.3818
false,"Wisconsin is ""49th out of 50 states in infrastructure.""",0.0
half-true,"""Just remember this: the president's health care bill put 30 million people on health care rolls that weren't there before.""",0.7506
true,I spent only $36.29 on my campaign for governor.,0.0
mostly-false,"Says ""As Mayor of Wilsonville, I drove TriMet out of town and replaced their bloated transit system with our own local bus line that offers better service and has saved our businesses millions of dollars.""",0.6908
true,"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",0.2732
mostly-true,"The so-called doc fix in the fiscal cliff deal will cut payments ""for treating illnesses disproportionately impacting minorities, including end stage renal disease and diabetes.""",-0.6486
false,"""Sen. Mark Begich cast the deciding vote in favor of President Obama’s authority to issue executive amnesty to illegal aliens.""",-0.1531
false,"Says President Donald Trump implemented ""a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.""",-0.5574
mostly-true,"""The richest 1 percent of America will get a bigger tax cut through this bill than the family income of the average family here in Central Texas.""",0.3182
mostly-true,"Says in his years as a Texas legislator, ""we passed three pay increases for teachers and provided them with health insurance.""",-0.1027
mostly-true,"""It’s actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state.""",0.8934
false,"Video shows ""Pfizer lab in Madrid on fire.""",0.0
half-true,"Virginia’s ""education standards for math and reading are now the lowest in the nation.""",-0.3818
false,"""If you are driving on average in America this summer, you'll save — according to Department of Energy figures — about $70.""",0.6486
pants-fire,"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",0.25
false,"Photos show ""Ukrainian farmers are slowly starting to build their own army.""",0.0
half-true,"(McCain) says ""we can't have ... timelines to draw down our troops from Iraq.""",0.0
half-true,"Says ""Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.""",0.34
false,"The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police.",-0.8519
pants-fire,"President Barack Obama ""has doubled the size of government since he took office.""",0.0
half-true,"Say ""Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country.""",0.4215
false,"""They’re furloughing nurses in hospitals in western New York state.""",0.0
mostly-false,"﻿﻿""Since Mayor Kennedy O’Brien took office Sayreville has issued 22,081 building permits! Now O’Brien is holding secret meetings with big developers.""",0.0
false,"Says Kamala Harris said, ""The American people aren’t equipped to make these decisions for themselves.""",0.0
mostly-false,"""The American people support defunding Obamacare and oppose shutting down the government.""",0.4019
mostly-false,"Says Washington’s Kim Schrier has a plan to eliminate employer-provided health coverage, double income taxes and put your care ""in the hands of government bureaucrats.""",0.4939
pants-fire,Say Sen. Lindsey Graham supports the Green New Deal.,0.3612
false,Obama couldn't have afforded his home without Rezko's help.,-0.3089
pants-fire,"Says Joe Biden and Barack Obama ""directly participated in a plot to have #SealTeam6 MURDERED, then arranged a massive cash deal as part of a cover up.""",-0.7297
pants-fire,"A new college tuition reciprocity agreement with Minnesota ""makes college education more affordable for Wisconsin residents.""",0.4939
mostly-false,"Says Rep. Paul Ryan’s budget proposal ""would effectively double the interest paid out on existing and future student loans.""",0.7096
true,"""Rooting for the Red Sox is like rooting for the drug companies.""",0.3612
half-true,"""Jimmy Langevin is having a fundraiser . . . to retire the debt from his campaign for secretary of state, which was 12 years ago.""",-0.3612
pants-fire,"An Alton, Ill., man caught a 736-pound Giant Mekong catfish in the Mississippi River.",0.0
mostly-false,"The Austin Independent School District board voted to mandate ""a pornographic sex education policy that includes instruction on anal sex and how to place a condom on an erect penis.""",0.0
pants-fire,"""California Has 1.8M More Registered Voters Than It Should""",0.0
mostly-true,"""Global food demand is expected to increase by 50 to 97 percent by 2050.""",0.2023
half-true,Businesses that refuse any legal tender can be fined and sued.,-0.1779
false,"Says Mike Gibbons said ""military service doesn't count as real work.""",0.0
mostly-false,"Says he ""raised average family income by 50 percent"" during his tenure as Arkansas governor.",0.0
half-true,"Says 60 percent of Austin’s ""waterways are found to be contaminated with fecal matter and deemed unsafe to swim.""",0.0258
half-true,"""Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.""",0.0
mostly-false,"Germany imposes a 19% tax on feminine hygiene products but a 7% tax on books, so one company is packaging tampons as books.",-0.0516
false,"""We were told there would never be a case of Ebola in the United States.""",0.4215
pants-fire,Warren Buffett says stop Obamacare now and start over.,-0.296
pants-fire,A bill to save teacher jobs is completely paid for by closing corporate tax loopholes.,0.4939
false,"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""",0.3182
half-true,"The city of Nelson, Ga., is ""quieter than Mayberry.""",0.0
mostly-true,"North Carolina’s coast ""is possibly the best place in (the) U.S. for an offshore windfarm.""",0.6369
half-true,"""Latin America’s economy is almost as big as the economy of China.""",0.0
false,"""You can't pass a budget in the Senate of the United States without 60 votes.""",0.4215
mostly-false,"In-state tuition available ""for non-U.S. citizens after three years … veterans have to wait five years.""",0.0
false,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,-0.1695
half-true,"The states that are doing ""better"" are the ones that have no state income tax.",-0.296
mostly-false,"More than 100,000 people are waiting for public housing in Houston and people who are in the country illegally are taking their spaces.",0.0
mostly-true,"""Income disparities in the United States are the worst since the 1920s.""",-0.3182
mostly-true,"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.",0.7506
half-true,"Says U.S. Senate rival Tommy Thompson ""wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.""",0.1027
mostly-false,Says his Twitter account has 1.3 million followers.,0.0
pants-fire,"Says Gen. David H. Berger said, ""No mandatory vaccinations for my Marines.""",-0.2263
half-true,"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' — with minority workers losing their jobs at twice the rate of their white counterparts.""",-0.7003
half-true,"""An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces.""",0.6633
mostly-false,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies,0.0
mostly-false,"Says Mark Begich ""has taken campaign cash from the Kochs"" while Dan Sullivan hasn’t.",0.0
mostly-false,"""Estimates for adopting Obamacare’s Medicaid expansion show it will cost Virginia taxpayers $902 million through 2022.""",0.0
half-true,"""The United States has a massive trade deficit with Japan. It's anywhere from $69 billion to a $100 billion a year.""",0.0258
mostly-true,"Louie Gohmert of Texas ""compared the current general-in-charge in Egypt to George Washington.""",0.0
half-true,"""Our high school graduation rate is the highest on record.""",0.0
false,"""Trump: police officers and firefighters make too much money…hits them with tax penalty.""",0.0
half-true,"Says Abraham Lincoln supported an agreement that allowed slavery in New Mexico ""and a law to return runaway slaves to their owners.""",-0.0772
mostly-false,"""Assault rifles already are banned.""",-0.5859
true,"""He won't even support his colleague's ... motion to censure the Bush administration for systemic repeated illegal wiretaps.""",-0.7057
mostly-true,Says a growing number of extremely premature babies survive into healthy childhood.,0.5719
pants-fire,"Say George Soros's money ""went straight into the (Women’s March) protesters’ pockets.""",0.2263
mostly-false,"Walmart employees receive ""roughly $5,800"" in public assistance per year.",0.0
half-true,"The debt ceiling deal will result in ""the lowest level of annual domestic spending since Dwight Eisenhower was president.""",-0.6249
true,"""[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.""",0.0
pants-fire,"""Ambassador Susan Rice Tribunal, Gavin Newsom indicted.""",0.0
true,"""We maintain this (Missouri highway) system with one of the lowest levels of funding in the country.""",-0.3818
true,"Sherrod Brown ""has been running for public office since Richard Nixon was president.""",0.0
false,"A poll worker in Erie County, Pa., threw out over 100 ballots for Donald Trump.",0.0
mostly-false,"Eric Esshaki ""would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.""",0.6369
false,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",0.0
false,"""You had (4,925) out-of-state voters… in Georgia.""",0.0
half-true,"Wisconsin has ""the number one health care system in the country. Everyone in poverty now has health care""",0.5267
mostly-true,"""Half of all CEOs say that the shutdown and the threat of shutdown set back their plans to hire over the next six months.""",-0.5267
mostly-true,"Says, ""when this governor came to office, he had (an) 11 billion dollar  - I call it mismanagement – deficit.""",0.0
false,"""Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!""",-0.8264
false,"""Millions could lose their health care coverage and be forced into a government pool"" under the new health care law.",0.1779
false,"""All money donated to Black Lives Matter goes directly to Act Blue, a Democrat Super PAC that then feeds the money to Democrat candidates.""",0.6124
mostly-false,"""There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.""",0.0
half-true,"Speaking of an HIV outbreak in Indiana during his time as governor, says ""we immediately deployed health resources.""",0.0
false,"Says Milwaukee County Executive Chris Abele spent ""$100,000 of taxpayer money on a new luxury SUV.""",0.0
mostly-false,Says the Department of Homeland Security didn't request any hours of aerial surveillance for the U.S.-Mexico border from the Department of Defense for 2017.,0.4404
pants-fire,"Says Alexandria Ocasio-Cortez tweeted, ""It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.""",0.6249
true,"Says Donald Trump ""used undocumented labor to build the Trump Tower.""",0.0
false,"""In 3 months, Melania took 21 trips to NY, to get her hair done, at taxpayer cost of $675,000 or $32,143/trip.""",0.0
false,"""Barack Obama had 150 days in the U.S. Senate where he was able to vote quite often 'present.' """,0.0
false,"Says the United States is the only nation that affords citizenship to anyone born here, ""whether you are here legally or illegally.""",0.4939
pants-fire,"""Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.""",0.3612
pants-fire,"""Florida man on drugs kills imaginary friend and turns himself in.""",-0.0772
mostly-true,"Says Trump ties are made ""in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.""",0.0
mostly-false,"Says he has a plan for ""$1 billion in tax relief for Illinois.""",0.4767
false,The Air Force wants taxpayers to fund a fantasy football league.,0.0
mostly-false,Says he didn't support the lawsuit to repeal the Affordable Care Act.,0.3834
mostly-true,"""Trump lost a trade war that he started.""",-0.7351
false,"Says George Norcross said the ""TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.""",0.0
half-true,"Says Tommy Tuberville ""quit on his players"" all four times that he was a college football coach.",0.0
mostly-false,"An 11-year-old girl was investigated by the FBI and had to pay a $500 federal criminal fine ""because she found an injured woodpecker and put it in a cage to make sure that the bird was OK.""",-0.5267
false,"Says Disneyland is enforcing a ""no scream"" policy on roller coasters.",-0.5994
true,You can buy lobster with food stamps.,0.0
mostly-true,"""The top man at Yale Law School came out ... with just a raging report"" about former HP CEO Carly Fiorina, saying she is ""one of the worst executives in his memory in history running the company.""",-0.7717
pants-fire,"The Dog Meat Festival in Yulin, China, ""threatens global public health.""",0.1531
mostly-false,Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,0.4939
false,"""Sunlight actually can kill the (novel coronavirus.)""",-0.6908
false,Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,0.4404
mostly-false,Passports aren’t required to enter the United States from Mexico and Canada.,0.4215
mostly-true,Says Travis County's unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.,-0.8591
mostly-false,"The ""Democratic Party is getting smaller and smaller and smaller.""",0.4019
false,"""There were no guns whatsoever"" at the Capitol riot on Jan. 6.",-0.7003
true,"""Wisconsin is one of several states where you can change your early ballot if you think you've made a mistake.""",0.0
false,"""In ‘Resident Evil’ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.""",0.0
mostly-true,"""The Interior Department is in charge of salmon while they're in fresh water, but the Commerce Department handles them when they're in saltwater.""",0.1655
mostly-false,"Says ""Bill Gates and other globalists, in collaboration with pharmaceutical companies, are reportedly working to push tracking bracelets and ‘invisible tattoos’ to monitor Americans during an impending lockdown.""",0.0
pants-fire,"""In New York state, if you’re white, you have to go to the back of the line to get medical help.""",0.0
half-true,"""African Americans in Missouri are 75 percent more likely to be stopped and searched by law enforcement officers than caucasians.""",-0.2263
false,"Says President Obama and his allies in Congress gave ""power"" to control Medicare patients’ health care decisions to ""a commission of 15 unelected bureaucrats in Washington.""",0.4939
true,"""We have one of the most expensive General Assemblies, per capita, in the entire country.""",0.0
pants-fire,"""Sean Duffy backed plan to privatize Social Security.""",0.0258
false,"""Hurricane ‘Hanna’ hitting Texas has blown over part of a border wall.""",0.0
mostly-false,"""We have towns in West Texas that are out of water, that are having to truck in water.""",0.0
false,"""Democrats announce they will abolish ICE if they win 2020 election.""",0.5859
mostly-true,The city of Atlanta has $56 million in its reserves.,0.0
pants-fire,Says Ted Cruz just flip-flopped about the president needing to be U.S.-born.,0.0
false,"U.S. Rep. Matt ""Cartwright proposes to defund the Wilkes-Barre police.""",0.0
false,"Says Marshall Tuck ""is backed by Donald Trump’s education advisor"" pictured as Betsy DeVos.",0.0258
pants-fire,"U.S. Sen. Sheldon Whitehouse ""rewarded Wall Street executives with millions in bonuses.""",0.4939
mostly-false,"Says Rick Perry is ""the guy that tracked"" down Democratic legislators who fled Texas in 2003.",0.0
true,"""When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago, they temporarily shut down the wells that were injecting fracking fluid into the ground ... (and) those earthquakes stopped.""",0.1779
half-true,"The Bush administration has ""the Pentagon trying to take away the signing bonuses when a soldier gets wounded and ends up in the hospital, something that I'm working with a Republican senator to try to make sure never can happen again.""",0.7096
pants-fire,"""The Obama administration has even joined Islamist governments in sponsoring a U.N. resolution that would shred our First Amendment by threatening to make discussion of radical Islamism potentially illegal.""",-0.5267
mostly-true,"""I was filibustered.""",0.0
